State,year,week,Total Positives
Georgia,2014,6,80
Illinois,2014,6,36
New York,2014,6,264
Pennsylvania,2014,6,93
Texas,2014,6,125
Washington,2014,6,62
Arizona,2014,7,81
California,2014,7,91
Colorado,2014,7,23
Georgia,2014,7,51
Illinois,2014,7,18
New York,2014,7,237
Pennsylvania,2014,7,66
Texas,2014,7,108
Washington,2014,7,77
Arizona,2014,8,56
California,2014,8,52
Colorado,2014,8,13
Georgia,2014,8,44
Illinois,2014,8,13
New York,2014,8,136
Pennsylvania,2014,8,59
Texas,2014,8,100
Washington,2014,8,51
Arizona,2014,9,53
California,2014,9,35
Colorado,2014,9,6
Georgia,2014,9,32
Illinois,2014,9,18
New York,2014,9,157
Pennsylvania,2014,9,54
Texas,2014,9,88
Washington,2014,9,36
Arizona,2014,10,42
California,2014,10,14
Colorado,2014,10,9
Georgia,2014,10,18
Illinois,2014,10,16
New York,2014,10,122
Pennsylvania,2014,10,39
Texas,2014,10,101
Washington,2014,10,15
Arizona,2014,11,26
California,2014,11,17
Colorado,2014,11,9
Georgia,2014,11,17
Illinois,2014,11,6
New York,2014,11,173
Pennsylvania,2014,11,37
Texas,2014,11,74
Washington,2014,11,18
Arizona,2014,12,31
California,2014,12,10
Colorado,2014,12,13
Georgia,2014,12,23
Illinois,2014,12,8
New York,2014,12,195
Pennsylvania,2014,12,41
Texas,2014,12,76
Washington,2014,12,9
Arizona,2014,13,14
California,2014,13,15
Colorado,2014,13,16
Georgia,2014,13,24
Illinois,2014,13,5
New York,2014,13,251
Pennsylvania,2014,13,51
Texas,2014,13,67
Washington,2014,13,14
Arizona,2014,14,15
California,2014,14,4
Colorado,2014,14,10
Georgia,2014,14,13
Illinois,2014,14,6
New York,2014,14,284
Pennsylvania,2014,14,79
Texas,2014,14,66
Washington,2014,14,17
Arizona,2014,15,26
California,2014,15,21
Colorado,2014,15,11
Georgia,2014,15,10
Illinois,2014,15,13
New York,2014,15,263
Pennsylvania,2014,15,61
Texas,2014,15,52
Washington,2014,15,11
Arizona,2014,16,40
California,2014,16,9
Colorado,2014,16,11
Georgia,2014,16,15
Illinois,2014,16,8
New York,2014,16,217
Pennsylvania,2014,16,57
Texas,2014,16,34
Washington,2014,16,13
Arizona,2014,17,23
California,2014,17,6
Colorado,2014,17,14
Georgia,2014,17,8
Illinois,2014,17,15
New York,2014,17,139
Pennsylvania,2014,17,43
Texas,2014,17,30
Washington,2014,17,7
Arizona,2014,18,28
California,2014,18,11
Colorado,2014,18,9
Georgia,2014,18,11
Illinois,2014,18,11
New York,2014,18,86
Pennsylvania,2014,18,42
Texas,2014,18,32
Washington,2014,18,5
Arizona,2014,19,36
California,2014,19,15
Colorado,2014,19,8
Georgia,2014,19,11
Illinois,2014,19,10
New York,2014,19,64
Pennsylvania,2014,19,31
Texas,2014,19,22
Washington,2014,19,8
Arizona,2014,20,29
California,2014,20,15
Colorado,2014,20,8
Georgia,2014,20,12
Illinois,2014,20,7
New York,2014,20,50
Pennsylvania,2014,20,24
Texas,2014,20,30
Washington,2014,20,4
Arizona,2014,21,25
California,2014,21,15
Colorado,2014,21,13
Georgia,2014,21,11
Illinois,2014,21,3
New York,2014,21,20
Pennsylvania,2014,21,2
Texas,2014,21,20
Washington,2014,21,6
Arizona,2014,22,29
California,2014,22,12
Colorado,2014,22,6
Georgia,2014,22,18
Illinois,2014,22,1
New York,2014,22,9
Pennsylvania,2014,22,8
Texas,2014,22,9
Washington,2014,22,6
Arizona,2014,23,16
California,2014,23,8
Colorado,2014,23,5
Georgia,2014,23,8
Illinois,2014,23,1
New York,2014,23,4
Pennsylvania,2014,23,1
Texas,2014,23,22
Washington,2014,23,1
Arizona,2014,24,7
California,2014,24,6
Colorado,2014,24,0
Georgia,2014,24,7
Illinois,2014,24,0
New York,2014,24,2
Pennsylvania,2014,24,0
Texas,2014,24,30
Washington,2014,24,5
Arizona,2014,25,5
California,2014,25,7
Colorado,2014,25,2
Georgia,2014,25,6
Illinois,2014,25,0
New York,2014,25,1
Pennsylvania,2014,25,0
Texas,2014,25,6
Washington,2014,25,7
Arizona,2014,26,7
California,2014,26,5
Colorado,2014,26,1
Georgia,2014,26,0
Illinois,2014,26,2
New York,2014,26,1
Pennsylvania,2014,26,0
Texas,2014,26,1
Washington,2014,26,3
Arizona,2014,27,1
California,2014,27,3
Colorado,2014,27,0
Georgia,2014,27,3
Illinois,2014,27,0
New York,2014,27,1
Pennsylvania,2014,27,1
Texas,2014,27,0
Washington,2014,27,5
Arizona,2014,28,1
California,2014,28,4
Colorado,2014,28,0
Georgia,2014,28,1
Illinois,2014,28,0
New York,2014,28,3
Pennsylvania,2014,28,0
Texas,2014,28,2
Washington,2014,28,4
Arizona,2014,29,0
California,2014,29,3
Colorado,2014,29,0
Georgia,2014,29,2
Illinois,2014,29,0
New York,2014,29,2
Pennsylvania,2014,29,0
Texas,2014,29,2
Washington,2014,29,1
Arizona,2014,30,0
California,2014,30,7
Colorado,2014,30,0
Georgia,2014,30,2
Illinois,2014,30,1
New York,2014,30,0
Pennsylvania,2014,30,0
Texas,2014,30,1
Washington,2014,30,1
Arizona,2014,31,1
California,2014,31,1
Colorado,2014,31,0
Georgia,2014,31,1
Illinois,2014,31,0
New York,2014,31,2
Pennsylvania,2014,31,0
Texas,2014,31,1
Washington,2014,31,2
Arizona,2014,32,1
California,2014,32,4
Colorado,2014,32,0
Georgia,2014,32,1
Illinois,2014,32,0
New York,2014,32,0
Pennsylvania,2014,32,0
Texas,2014,32,2
Washington,2014,32,1
Arizona,2014,33,0
California,2014,33,4
Colorado,2014,33,0
Georgia,2014,33,3
Illinois,2014,33,0
New York,2014,33,2
Pennsylvania,2014,33,0
Texas,2014,33,1
Washington,2014,33,1
Arizona,2014,34,2
California,2014,34,1
Colorado,2014,34,2
Georgia,2014,34,5
Illinois,2014,34,0
New York,2014,34,2
Pennsylvania,2014,34,0
Texas,2014,34,3
Washington,2014,34,0
Arizona,2014,35,1
California,2014,35,1
Colorado,2014,35,0
Georgia,2014,35,3
Illinois,2014,35,2
New York,2014,35,1
Pennsylvania,2014,35,0
Texas,2014,35,3
Washington,2014,35,1
Arizona,2014,36,1
California,2014,36,0
Colorado,2014,36,0
Georgia,2014,36,7
Illinois,2014,36,0
New York,2014,36,4
Pennsylvania,2014,36,0
Texas,2014,36,1
Washington,2014,36,1
Arizona,2014,37,0
California,2014,37,0
Colorado,2014,37,0
Georgia,2014,37,8
Illinois,2014,37,0
New York,2014,37,1
Pennsylvania,2014,37,3
Texas,2014,37,2
Washington,2014,37,1
Arizona,2014,38,0
California,2014,38,0
Colorado,2014,38,1
Georgia,2014,38,10
Illinois,2014,38,0
New York,2014,38,1
Pennsylvania,2014,38,3
Texas,2014,38,7
Washington,2014,38,1
Arizona,2014,39,3
California,2014,39,3
Colorado,2014,39,1
Georgia,2014,39,6
Illinois,2014,39,0
New York,2014,39,4
Pennsylvania,2014,39,4
Texas,2014,39,20
Washington,2014,39,3
Arizona,2014,40,0
California,2014,40,9
Colorado,2014,40,6
Georgia,2014,40,15
Illinois,2014,40,1
New York,2014,40,3
Pennsylvania,2014,40,6
Texas,2014,40,16
Washington,2014,40,1
Arizona,2014,41,5
California,2014,41,15
Colorado,2014,41,1
Georgia,2014,41,12
Illinois,2014,41,7
New York,2014,41,10
Pennsylvania,2014,41,3
Texas,2014,41,40
Washington,2014,41,10
Arizona,2014,42,0
California,2014,42,17
Colorado,2014,42,4
Georgia,2014,42,24
Illinois,2014,42,5
New York,2014,42,16
Pennsylvania,2014,42,7
Texas,2014,42,50
Washington,2014,42,5
Arizona,2014,43,1
California,2014,43,12
Colorado,2014,43,6
Georgia,2014,43,16
Illinois,2014,43,13
New York,2014,43,6
Pennsylvania,2014,43,6
Texas,2014,43,50
Washington,2014,43,9
Arizona,2014,44,10
California,2014,44,22
Colorado,2014,44,8
Georgia,2014,44,15
Illinois,2014,44,22
New York,2014,44,7
Pennsylvania,2014,44,12
Texas,2014,44,79
Washington,2014,44,6
Arizona,2014,45,11
California,2014,45,14
Colorado,2014,45,30
Georgia,2014,45,35
Illinois,2014,45,62
New York,2014,45,12
Pennsylvania,2014,45,15
Texas,2014,45,141
Washington,2014,45,12
Arizona,2014,46,9
California,2014,46,20
Colorado,2014,46,44
Georgia,2014,46,69
Illinois,2014,46,89
New York,2014,46,15
Pennsylvania,2014,46,19
Texas,2014,46,217
Washington,2014,46,10
Arizona,2014,47,12
California,2014,47,24
Colorado,2014,47,87
Georgia,2014,47,153
Illinois,2014,47,179
New York,2014,47,14
Pennsylvania,2014,47,41
Texas,2014,47,501
Washington,2014,47,20
Arizona,2014,48,34
California,2014,48,36
Colorado,2014,48,149
Georgia,2014,48,301
Illinois,2014,48,249
New York,2014,48,28
Pennsylvania,2014,48,63
Texas,2014,48,667
Washington,2014,48,37
Arizona,2014,49,65
California,2014,49,87
Colorado,2014,49,299
Georgia,2014,49,318
Illinois,2014,49,342
New York,2014,49,114
Pennsylvania,2014,49,99
Texas,2014,49,795
Washington,2014,49,58
Arizona,2014,50,56
California,2014,50,129
Colorado,2014,50,476
Georgia,2014,50,388
Illinois,2014,50,425
New York,2014,50,222
Pennsylvania,2014,50,168
Texas,2014,50,1183
Washington,2014,50,107
Arizona,2014,51,74
California,2014,51,164
Colorado,2014,51,702
Georgia,2014,51,697
Illinois,2014,51,477
New York,2014,51,454
Pennsylvania,2014,51,306
Texas,2014,51,1121
Washington,2014,51,155
Arizona,2014,52,119
California,2014,52,359
Colorado,2014,52,615
Georgia,2014,52,783
Illinois,2014,52,280
New York,2014,52,824
Pennsylvania,2014,52,496
Texas,2014,52,1064
Washington,2014,52,205
Arizona,2014,53,153
California,2014,53,494
Colorado,2014,53,469
Georgia,2014,53,386
Illinois,2014,53,155
New York,2014,53,841
Pennsylvania,2014,53,512
Texas,2014,53,711
Washington,2014,53,182
Arizona,2015,1,211
California,2015,1,936
Colorado,2015,1,230
Georgia,2015,1,195
Illinois,2015,1,112
New York,2015,1,749
Pennsylvania,2015,1,415
Texas,2015,1,619
Washington,2015,1,192
Arizona,2015,2,254
California,2015,2,1330
Colorado,2015,2,106
Georgia,2015,2,152
Illinois,2015,2,63
New York,2015,2,728
Pennsylvania,2015,2,282
Texas,2015,2,726
Washington,2015,2,208
Arizona,2015,3,254
California,2015,3,1159
Colorado,2015,3,78
Georgia,2015,3,126
Illinois,2015,3,35
New York,2015,3,889
Pennsylvania,2015,3,294
Texas,2015,3,594
Washington,2015,3,141
Arizona,2015,4,285
California,2015,4,1151
Colorado,2015,4,64
Georgia,2015,4,103
Illinois,2015,4,33
New York,2015,4,755
Pennsylvania,2015,4,233
Texas,2015,4,486
Washington,2015,4,105
Arizona,2015,5,200
California,2015,5,994
Colorado,2015,5,70
Georgia,2015,5,87
Illinois,2015,5,19
New York,2015,5,681
Pennsylvania,2015,5,193
Texas,2015,5,377
Washington,2015,5,98
Arizona,2015,6,102
California,2015,6,674
Colorado,2015,6,73
Georgia,2015,6,98
Illinois,2015,6,25
New York,2015,6,504
Pennsylvania,2015,6,110
Texas,2015,6,316
Washington,2015,6,39
Arizona,2015,7,108
California,2015,7,475
Colorado,2015,7,85
Georgia,2015,7,112
Illinois,2015,7,31
New York,2015,7,418
Pennsylvania,2015,7,95
Texas,2015,7,233
Washington,2015,7,35
Arizona,2015,8,90
California,2015,8,304
Colorado,2015,8,94
Georgia,2015,8,131
Illinois,2015,8,41
New York,2015,8,290
Pennsylvania,2015,8,73
Texas,2015,8,182
Washington,2015,8,24
Arizona,2015,9,64
California,2015,9,283
Colorado,2015,9,90
Georgia,2015,9,127
Illinois,2015,9,74
New York,2015,9,259
Pennsylvania,2015,9,69
Texas,2015,9,184
Washington,2015,9,24
Arizona,2015,10,38
California,2015,10,187
Colorado,2015,10,90
Georgia,2015,10,104
Illinois,2015,10,126
New York,2015,10,248
Pennsylvania,2015,10,47
Texas,2015,10,214
Washington,2015,10,24
Arizona,2015,11,40
California,2015,11,151
Colorado,2015,11,55
Georgia,2015,11,82
Illinois,2015,11,135
New York,2015,11,266
Pennsylvania,2015,11,49
Texas,2015,11,109
Washington,2015,11,23
Arizona,2015,12,22
California,2015,12,111
Colorado,2015,12,48
Georgia,2015,12,44
Illinois,2015,12,97
New York,2015,12,271
Pennsylvania,2015,12,51
Texas,2015,12,61
Washington,2015,12,20
Arizona,2015,13,17
California,2015,13,73
Colorado,2015,13,28
Georgia,2015,13,33
Illinois,2015,13,90
New York,2015,13,253
Pennsylvania,2015,13,44
Texas,2015,13,84
Washington,2015,13,18
Arizona,2015,14,20
California,2015,14,62
Colorado,2015,14,21
Georgia,2015,14,25
Illinois,2015,14,77
New York,2015,14,196
Pennsylvania,2015,14,48
Texas,2015,14,52
Washington,2015,14,15
Arizona,2015,15,16
California,2015,15,64
Colorado,2015,15,23
Georgia,2015,15,13
Illinois,2015,15,46
New York,2015,15,159
Pennsylvania,2015,15,18
Texas,2015,15,25
Washington,2015,15,16
Arizona,2015,16,12
California,2015,16,52
Colorado,2015,16,10
Georgia,2015,16,12
Illinois,2015,16,38
New York,2015,16,83
Pennsylvania,2015,16,17
Texas,2015,16,19
Washington,2015,16,17
Arizona,2015,17,13
California,2015,17,27
Colorado,2015,17,9
Georgia,2015,17,10
Illinois,2015,17,22
New York,2015,17,64
Pennsylvania,2015,17,18
Texas,2015,17,9
Washington,2015,17,15
Arizona,2015,18,21
California,2015,18,38
Colorado,2015,18,6
Georgia,2015,18,6
Illinois,2015,18,18
New York,2015,18,27
Pennsylvania,2015,18,11
Texas,2015,18,10
Washington,2015,18,15
Arizona,2015,19,8
California,2015,19,30
Colorado,2015,19,4
Georgia,2015,19,5
Illinois,2015,19,3
New York,2015,19,27
Pennsylvania,2015,19,5
Texas,2015,19,12
Washington,2015,19,25
Arizona,2015,20,9
California,2015,20,31
Colorado,2015,20,0
Georgia,2015,20,6
Illinois,2015,20,2
New York,2015,20,17
Pennsylvania,2015,20,8
Texas,2015,20,4
Washington,2015,20,13
Arizona,2015,21,14
California,2015,21,21
Colorado,2015,21,0
Georgia,2015,21,3
Illinois,2015,21,1
New York,2015,21,11
Pennsylvania,2015,21,2
Texas,2015,21,4
Washington,2015,21,5
Arizona,2015,22,10
California,2015,22,15
Colorado,2015,22,0
Georgia,2015,22,2
Illinois,2015,22,2
New York,2015,22,6
Pennsylvania,2015,22,1
Texas,2015,22,14
Washington,2015,22,7
Arizona,2015,23,9
California,2015,23,21
Colorado,2015,23,1
Georgia,2015,23,2
Illinois,2015,23,1
New York,2015,23,5
Pennsylvania,2015,23,0
Texas,2015,23,9
Washington,2015,23,6
Arizona,2015,24,6
California,2015,24,12
Colorado,2015,24,0
Georgia,2015,24,1
Illinois,2015,24,0
New York,2015,24,3
Pennsylvania,2015,24,1
Texas,2015,24,7
Washington,2015,24,8
Arizona,2015,25,3
California,2015,25,10
Colorado,2015,25,0
Georgia,2015,25,0
Illinois,2015,25,0
New York,2015,25,2
Pennsylvania,2015,25,1
Texas,2015,25,4
Washington,2015,25,0
Arizona,2015,26,4
California,2015,26,14
Colorado,2015,26,0
Georgia,2015,26,2
Illinois,2015,26,3
New York,2015,26,1
Pennsylvania,2015,26,1
Texas,2015,26,3
Washington,2015,26,5
Arizona,2015,27,0
California,2015,27,5
Colorado,2015,27,0
Georgia,2015,27,2
Illinois,2015,27,1
New York,2015,27,4
Pennsylvania,2015,27,1
Texas,2015,27,1
Washington,2015,27,2
Arizona,2015,28,1
California,2015,28,5
Colorado,2015,28,1
Georgia,2015,28,2
Illinois,2015,28,2
New York,2015,28,1
Pennsylvania,2015,28,0
Texas,2015,28,4
Washington,2015,28,3
Arizona,2015,29,0
California,2015,29,2
Colorado,2015,29,1
Georgia,2015,29,1
Illinois,2015,29,0
New York,2015,29,2
Pennsylvania,2015,29,0
Texas,2015,29,3
Washington,2015,29,2
Arizona,2015,30,1
California,2015,30,0
Colorado,2015,30,1
Georgia,2015,30,2
Illinois,2015,30,1
New York,2015,30,4
Pennsylvania,2015,30,0
Texas,2015,30,1
Washington,2015,30,2
Arizona,2015,31,1
California,2015,31,5
Colorado,2015,31,0
Georgia,2015,31,0
Illinois,2015,31,1
New York,2015,31,8
Pennsylvania,2015,31,0
Texas,2015,31,2
Washington,2015,31,1
Arizona,2015,32,0
California,2015,32,9
Colorado,2015,32,0
Georgia,2015,32,1
Illinois,2015,32,1
New York,2015,32,6
Pennsylvania,2015,32,0
Texas,2015,32,0
Washington,2015,32,1
Arizona,2015,33,0
California,2015,33,3
Colorado,2015,33,1
Georgia,2015,33,6
Illinois,2015,33,0
New York,2015,33,3
Pennsylvania,2015,33,0
Texas,2015,33,1
Washington,2015,33,2
Arizona,2015,34,1
California,2015,34,3
Colorado,2015,34,1
Georgia,2015,34,2
Illinois,2015,34,1
New York,2015,34,3
Pennsylvania,2015,34,0
Texas,2015,34,4
Washington,2015,34,1
Arizona,2015,35,1
California,2015,35,10
Colorado,2015,35,1
Georgia,2015,35,2
Illinois,2015,35,1
New York,2015,35,6
Pennsylvania,2015,35,0
Texas,2015,35,6
Washington,2015,35,7
Arizona,2015,36,2
California,2015,36,7
Colorado,2015,36,3
Georgia,2015,36,8
Illinois,2015,36,0
New York,2015,36,6
Pennsylvania,2015,36,0
Texas,2015,36,6
Washington,2015,36,6
Arizona,2015,37,1
California,2015,37,6
Colorado,2015,37,1
Georgia,2015,37,1
Illinois,2015,37,2
New York,2015,37,5
Pennsylvania,2015,37,3
Texas,2015,37,9
Washington,2015,37,7
Arizona,2015,38,1
California,2015,38,11
Colorado,2015,38,0
Georgia,2015,38,5
Illinois,2015,38,1
New York,2015,38,2
Pennsylvania,2015,38,2
Texas,2015,38,13
Washington,2015,38,7
Arizona,2015,39,6
California,2015,39,12
Colorado,2015,39,2
Georgia,2015,39,6
Illinois,2015,39,1
New York,2015,39,6
Pennsylvania,2015,39,8
Texas,2015,39,16
Washington,2015,39,2
